GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
43059567,20020901,200209,2002,2002.6603,PHLGOV,GLORIA MACAPAGAL ARROYO,PHL,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,046,046,04,1,7.0,5,1,5,8.36236933797909,4,"Li Peng, Zhejiang, China",CH,CH02,30.8393,119.956,11018891,4,"Li Peng, Zhejiang, China",CH,CH02,30.8393,119.956,11018891,4,"Sorsogon, Samar, Philippines",RP,RP55,12.0339,124.674,-2453939,20130203,unspecified
270285754,20131004,201310,2013,2013.7507,MYSGOV,MALAYSIA,MYS,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,046,046,04,1,7.0,2,1,2,1.17647058823529,4,"Jinping, Hunan, China",CH,CH11,27.0039,109.832,6175090,4,"Jinping, Hunan, China",CH,CH11,27.0039,109.832,6175090,4,"Kuantan, Pahang, Malaysia",MY,MY06,3.8077,103.326,-2402944,20131004,http://www.nzweek.com/world/china/chinese-president-meets-malaysian-pm-on-ties-84060/
487455396,20151123,201511,2015,2015.8849,MYSGOV,MALAYSIAN,MYS,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,046,046,04,1,7.0,4,1,4,1.53061224489796,4,"Malacca, Melaka, Malaysia",MY,MY04,2.196,102.241,-2403412,4,"Zheng He, Anhui, China",CH,CH01,31.2167,118.508,-3830081,4,"Malacca, Melaka, Malaysia",MY,MY04,2.196,102.241,-2403412,20151123,http://english.cri.cn/12394/2015/11/23/4182s905316.htm
297640772,20140516,201405,2014,2014.3726,VNMGOV,HANOI,VNM,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,140,140,14,3,-6.5,4,1,4,2.81531531531532,4,"South China Sea, Brunei (general), Brunei",BX,BX00,15.0,115.0,-1337919,4,"South China Sea, Brunei (general), Brunei",BX,BX00,15.0,115.0,-1337919,4,"Ha Tinh, Tinh Ha Tinh, Vietnam, Republic Of",VM,VM52,18.3333,105.9,-3715076,20140516,http://www.bbc.co.uk/news/world-asia-27435612
217211657,20120910,201209,2012,2012.6849,IDNGOV,INDONESIAN,IDN,,,,,GOV,,,CHNGOV,HU JINTAO,CHN,,,,,GOV,,,1,036,036,03,1,4.0,1,1,1,0.0,4,"Lampedusa, Italy (general), Italy",IT,IT00,35.5,12.6,-119645,4,"Lampedusa, Italy (general), Italy",IT,IT00,35.5,12.6,-119645,4,"Zaghouan, Zaghwan, Tunisia",TS,TS37,36.4029,10.1429,-732130,20130203,unspecified
270285752,20131004,201310,2013,2013.7507,MYSGOV,MALAYSIAN,MYS,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,046,046,04,1,7.0,8,2,8,0.912910618792969,4,"Kuantan, Pahang, Malaysia",MY,MY06,3.8077,103.326,-2402944,4,"Jinping, Hunan, China",CH,CH11,27.0039,109.832,6175090,4,"Kuantan, Pahang, Malaysia",MY,MY06,3.8077,103.326,-2402944,20131004,http://www.nzweek.com/world/china/chinese-president-meets-malaysian-pm-on-ties-84060/
49977173,20031221,200312,2003,2003.9616,PHLGOV,PHILIPPINE,PHL,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,040,040,04,1,1.0,4,1,4,10.0418410041841,1,Japan,JA,JA,36.0,138.0,0,1,Japan,JA,JA,36.0,138.0,0,1,Japan,JA,JA,36.0,138.0,0,20130203,unspecified
486525859,20151119,201511,2015,2015.874,MYSGOV,MALAYSIAN,MYS,,,,,GOV,,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,040,040,04,1,1.0,2,1,2,0.0,1,Malaysia,MY,MY,2.5,112.5,MY,1,China,CH,CH,35.0,105.0,CH,1,Brunei,BX,BX,4.5,114.667,BX,20151119,http://malaya.com.ph/business-news/news/chinese-ship-monitored-activities-pag-asa
53416311,20040901,200409,2004,2004.6603,PHLGOV,PHILIPPINE,PHL,,,,,GOV,,,CHNGOV,HU JINTAO,CHN,,,,,GOV,,,1,026,026,02,1,4.0,9,1,9,8.76623376623377,5,"Shaanxi, Shaanxi, China",CH,CH26,36.0,109.0,-1924159,5,"Shaanxi, Shaanxi, China",CH,CH26,36.0,109.0,-1924159,5,"Shaanxi, Shaanxi, China",CH,CH26,36.0,109.0,-1924159,20130203,unspecified
216785312,20120905,201209,2012,2012.6712,SGPGOV,SINGAPOREAN,SGP,,,,,GOV,,,CHNGOV,HU JINTAO,CHN,,,,,GOV,,,1,040,040,04,1,1.0,6,1,6,0.0,4,"Volgograd, Volgogradskaya Oblast', Russia",RS,RS84,48.8047,44.5858,-3034353,4,"Volgograd, Volgogradskaya Oblast', Russia",RS,RS84,48.8047,44.5858,-3034353,4,"Volgograd, Volgogradskaya Oblast', Russia",RS,RS84,48.8047,44.5858,-3034353,20130203,unspecified
131123058,20090825,200908,2009,2009.6438,SGPGOV,SINGAPORE,SGP,,,,,GOV,,,CHNGOV,WANG QISHAN,CHN,,,,,GOV,,,0,042,042,04,1,1.9,27,3,19,7.78240794130954,1,Singapore,SN,SN,1.3667,103.8,0,4,"Tianjin, Tianjin, China",CH,CH28,39.1422,117.177,-1928564,4,"Tianjin, Tianjin, China",CH,CH28,39.1422,117.177,-1928564,20130203,unspecified
25507571,19981130,199811,1998,1998.9041,THAGOV,THAILAND,THA,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,013,013,01,1,0.4,1,1,1,4.45544554455445,4,"Palawan, Dapitan, Philippines",RP,RPC2,8.63333,123.4,-2447135,4,"Palawan, Dapitan, Philippines",RP,RPC2,8.63333,123.4,-2447135,4,"Palawan, Dapitan, Philippines",RP,RPC2,8.63333,123.4,-2447135,20130203,unspecified
320617135,20141021,201410,2014,2014.7973,VNMGOV,VIETNAM,VNM,,,,,GOV,,,CHNGOV,YANG JIECHI,CHN,,,,,GOV,,,0,042,042,04,1,1.9,4,1,4,1.82873851294904,4,"Truong Tan, Thanh HóM, Vietnam, Republic Of",VM,VM34,19.7167,105.85,-3732606,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Truong Tan, Thanh HóM, Vietnam, Republic Of",VM,VM34,19.7167,105.85,-3732606,20141028,http://article.wn.com/view/2014/10/28/China_media_Death_penalty/
